Identifier,Name,Downloaded,Risk
cdbccfkcpkmimlajcjpodelocoeifjhp,OceanHero_ Save Our Oceans with Every New Tab,50000,Leak
fcejkolobdcfbhhakbhajcflakmnhaff,Knowee AI (formerly StudyGPT) - Your Homework & Essay Helper,50000,Leak
flfhkellafphdlcigippmenebkodkina,OpenOffice Writer online for Word documents,50000,Leak
ggokfoffgmgmkckgeclppfpgfmddbdjg,Adblock Pro for Youtube™,50000,Leak
jjjpjmbnbdjhbkclajpagjkefefnednl,Super PiP - Picture-in-Picture with playback controls and subtitles,50000,Leak
neigoggljhfnodeneidndcflnclldnpm,שם זה זול יותר,50000,Leak
agleiimpggapjekcdhdjbmegjbbkleie,Ground News - Bias Checker,40000,Leak
bpdjlkbbhlnjlggpbofheohnomnibmmm,Document Editor for doc & docx,40000,Leak
dpjgafhldafgelgpilaghplfgecjojgp,Photo editor PhotoStudio for images,40000,Leak
dpphkcfmnbkdpmgneljgdhfnccnhmfig,Relingo - Master vocabulary while browsing websites and watching YouTube,40000,Leak
eemjhliengnnmjmbdjagekdddmkhanna,ima知识库,40000,Leak
mffappoadhfalhjgmfaoecjbdjfdfhdj,PDF editor PDFOffice to edit and create PDF,40000,Leak
ponokiofkijoolhebggofhhibnafebna,Felo Subtitles_ ChatGPT Live Translation,40000,Leak
begnkfeikebdelojdklgfkbhbeboilne,Alibaba Search by image,30000,Leak
bolplfmefepdhhakjbdggjmocjdkjkgb,PriceTiger,30000,Leak
cakgpagboibckijdpobichompgagpmnl,PriceTaco,30000,Leak
fobklglmhojpeijoioelpdaicagiepbf,LINE購物省錢助理 - 邊購物邊幫你輕鬆省錢！,30000,Leak
gnmngcgmijhkamopfhmnkgpebgjbpbja,DocsWork Editor for documents DOC & DOCX,30000,Leak
ifjafammaookpiajfbedmacfldaiamgg,BeeLine Reader,30000,Leak
lpaboeaccgehipchabmnialhaihbmhji,Video editor VideoStudio,30000,Leak
mjackmipnhegkhekpebhmnkhkaojdldn,BK Reviews,30000,Leak
pkhpcfoaocmmpmphhenoblggeinedlah,Dupe.com_ Find similar products for less,30000,Leak
aaiolimgbncdaldgbbjkidiijidchhjo,Shopper.com,20000,Leak
aclbkdnphcdelflmgjgmgbahlfngidma,Dropbox Dash for Business,20000,Leak
dojcmakgodofecjmdnncjkbhmddlmnpf,CapCut screen recorder,20000,Leak
egfkhocobmgeafdbjbphhfdfbmlobgdc,大学搜题酱插件,20000,Leak
ehoknmhmadiboejdbinglmbnlghnbldc,Phia_ Best Price in One Click,20000,Leak
fiffkcnehndkebmpinoknndjbhdpbkcn,OpenOffice Calc online for xls spreadsheets,20000,Leak
hgfgdlbnbccaphekmiblnlbocchmanpd,PPT slides editor,20000,Leak
hmpbiickdfmcdlcpjegamgnjjkaiackl,AliPrice Search by image for AE,20000,Leak
hnbdgfongnkfgnbpamndfiiedhapfecn,语雀浏览器插件,20000,Leak
imjfokfjjgpijjfgnodojafbkoonmmkh,芒果店长,20000,Leak
jlbpahgopcmomkgegpbmopfodolajhbl,ChatGPT for Chrome - GPT Search,20000,Leak
lmbnfoinlgcmombooibkgiihldajgnmk,Smart Nexus,20000,Leak
moeiianjbcjnomgomanjhilnlmfafpbj,Alva – AI Crypto Analyst_ Trading Assistant & Agents,20000,Leak
aiimlpjcnmhmbdlmkhloapmlookboonb,OnManzBien,10000,Leak
ailbhmoekhkkihagfmffpaahfpcjjiei,Apk Downloader manager for Android,10000,Leak
bnbpceglddpnehbopmdjegpfinikcaoh,Gem,10000,Leak
fbjdfhinnhahheghjajajniekpnghdfa,淘宝购物助手极速版,10000,Leak
gadbpecoinogdkljjbjffmiijpebooce,ChatGPT Assistant - GPT Search,10000,Leak
gghlgcihlfpfbibgaffggbmidpfejbbb,Alibaba search by image,10000,Leak
ghjakbehlhkjdiehaeffedomkakcenjo,Browse.live Web Safety,10000,Leak
hblfamjdifnhiioifbfamlnkjfenhfed,AI-Powered DealDazzle_ Searching Alternatives,10000,Leak
hchpnbmmbepldbfdgbjfigifhobbjcel,HTML editor WebStudio for Webpages,10000,Leak
ijfmjempkpegmlhcacclfckeimbfgabp,Powerlead - Find Any B2B Contact Info,10000,Leak
ijnodnmgpgmgaajhagolfiemmmamfcgb,UltraBlock - Privacy Protection & Adblock,10000,Leak
kfkcgdiimmaafjbljhbjejocjignnajn,CharityTree,10000,Leak
kmmpkhpajpecmpdmmbpjmkmcmfdahkcj,Price.com_ Save with Cash Back & Coupons,10000,Leak
nckcnmaeicmholjaolkfcodfpblenkfp,XlsWork XLS editor for spreadsheets,10000,Leak
njodldkbolbomneajeffdhedmnnplhpe,Coin Search - your daily rewards tool,10000,Leak
ocjlckkmllgdmmpiobopeblldmmhjpjk,tool4seller - Amazon Product Research,10000,Leak
bedebpfmdganddijhfbbaabedpmlokdk,Pinduoduo Search by Image,9000,Leak
dfphncdgnondpmbfimfciniiakegcmmj,Blexb - Alexa Rank Alternative,9000,Leak
gfjgjekaeebjccpnaeeeleeadfiledpm,Joom Pulse – Extensão para Google Chrome,9000,Leak
glmfkanjkeedalikadkjlmijemmiknce,Presentation editor PPTWork for PPT slides,9000,Leak
nmcpliniiebkbdehpgicgfcidgkpepep,Auto Clicker - AutoFill [BETA],9000,Leak
ehplfgnopmpflglfpldjdodaogebfgpe,Laika AI - All in One DefAI Crypto AI Copilot,8000,Leak
epljmdbeelhhkllonphikmilmofkfffb,AI Resume Builder - Supawork AI,8000,Leak
fghbfikeodjkbajmokiekipabfckcpgc,Free B2B Contact Info by AroundDeal,8000,Leak
gmfaoihlkhopieoibopcponemocgbloj,SaveDay - AI Bookmark Manager,8000,Leak
jcbjcocinigpbgfpnhlpagidbmlngnnn,Adblock for Browser,8000,Leak
banepeeclciljgfbpcjgnkfecnafnngg,Total Defense Traffic Light,7000,Leak
cpmbdnkbpaabapidllalnfopojfimbno,Top Best Extension,7000,Leak
dgafcidlgmbcehokgdeghmfnbpbfhihh,WhenX_ Mark Linkedin Profiles with notes,7000,Leak
efbmlkodbdhahiljghapjcbofehkhpie,Aliexpress search by image,7000,Leak
ppgndohgacfggdpbcdlgibdkdknimfmn,Linkedin Booster - Get more Likes on LinkedIn using Podawaa,7000,Leak
dfaldmjkfklnkenddjpikfkdnkinheke,DingDoc Flash Save,6000,Leak
eciaojnpihmgkbacgpjnimcpkfeklgag,Ask AI Browser,6000,Leak
jflkdlbjgfiifajbjeockfjhbnhlakfd,wikifx,6000,Leak
piemiihdhidiomfmilgencaeabplcgle,Web browser with anonymous access,6000,Leak
edkmbojkflfanganifkkajmldejmhlec,GoCashBack_ Deals_ Rebates_ Savings Extension,5000,Leak
eehllckaggechnoimeokmdgmljlmhkma,Pinterest Save - Pro,5000,Leak
fcnadghcijkmdhjdgiehgfpadojilfoa,Snip - Remove Web Elements,5000,Leak
haikmmmjkcejaalkjbfobneapigfmldp,CMeter,5000,Leak
