Identifier,Name,Downloaded,Risk
fnmihdojmnkclgjpcoonokmkhjpjechg,ChatGPT for Chrome,0,FakeAI
inhcgfpbfdjbjogdfjbclgolkmhnooop,AI Sidebar,0,FakeAI
