Identifier,Name,Downloaded,Risk
obifanppcpchlehkjipahhphbcbjekfa,Telegram Multi-account,0,Stealer
mdcfennpfgkngnibjbpnpaafcjnhcjno,Web Client for Telegram - Teleside,0,Stealer
mmecpiobcdbjkaijljohghhpfgngpjmk,YouSide - Youtube Sidebar,0,Stealer
bfoofgelpmalhcmedaaeogahlmbkopfd,Web Client for Youtube - SideYou,0,Stealer
cbfhnceafaenchbefokkngcbnejached,Web Client for TikTok,0,Stealer
ogogpebnagniggbnkbpjioobomdbmdcj,Text Translation,0,Stealer
ldmnhdllijbchflpbmnlgndfnlgmkgif,Page Locker,0,Stealer
lnajjhohknhgemncbaomjjjpmpdigedg,Page Auto Refresh,0,Stealer
aecccajigpipkpioaidignbgbeekglkd,Web Client for Rugby Rush - SideGame,0,Stealer
akebbllmckjphjiojeioooidhnddnplj,Formula Rush Racing Game,0,Stealer
akifdnfipbeoonhoeabdicnlcdhghmpn,Piggy Prizes - Slot Machine,0,Stealer
akkkopcadaalekbdgpdikhdablkgjagd,Slot Arabian,0,Stealer
alkfljfjkpiccfgbeocbbjjladigcleg,Frogtastic,0,Stealer
alllblhkgghelnejlggmmgjbkdabidie,Black Beard Slot Machine,0,Stealer
amkkjdjjgiiamenbopfpdmjcleecjjgg,Indian - Slot Machine,0,Stealer
amnaljnjmgajgajelnplfmidgjgbjfhe,Mahjong Deluxe,0,Stealer
bbjdlbemjklojnbifkgameepcafflmem,Crazy Freekick,0,Stealer
bdnanfggeppmkfhkgmpojkhanoplkacc,Slot Car Racing,0,Stealer
bgdkbjcdecedfoejdfgeafdodjgfohno,Clear Cache Plus,0,Stealer
bnchgibgpgmlickioneccggfobljmhjc,Galactica Delux - Slot Machine,0,Stealer
bpljfbcejldmgeoodnogeefaihjdgbam,Speed Test for Chrome - WiFi SpeedTest,0,Stealer
cbnekafldflkmngbgmbnfmchjaelnhem,Game SkySpeedster,0,Stealer
cdpiopekjeonfjeocbfebemgocjciepp,Master Chess,0,Stealer
cehdkmmfadpplgchnbjgdngdcjmhlfcc,Hockey Shootout,0,Stealer
cljengcehefhflhoahaambmkknjekjib,Odds Of The Gods - Slot Machine,0,Stealer
clpgopiimdjcilllcjncdkoeikkkcfbi,Billiards Pro,0,Stealer
cmeoegkmpbpcoabhlklbamfeidebgmdf,Three Card Poker,0,Stealer
cmlbghnlnbjkdgfjlegkbjmadpbmlgjb,Donuts - Slot Machine,0,Stealer
cnibdhllkgidlgmaoanhkemjeklneolk,Archer - Slot Machine,0,Stealer
cpnfioldnmhaihohppoaebillnambcgn,Rugby Rush,0,Stealer
dbohcpohlgnhgjmfkakoniiplglpfhcb,Bingo,0,Stealer
dcamdpfclondppklabgkfaofjccpioil,Web Client for game Cricket Batter Challenge,0,Stealer
dljlpildgknddpnahppkihgodokfjbnd,Slot Machine Zeus Treasures,0,Stealer
dlpiookhionidajbiopmaajeckifeehn,Horse Racing,0,Stealer
dmaibhbbpmdihedidicfeigilkbobcog,Aztec - Slot Machine,0,Stealer
dohenclhhdfljpjlnpjnephpccbdgmmb,Straight 4,0,Stealer
dpdemambcedffmnkfmkephnhhnclmcio,Slot The Gold Pot,0,Stealer
ejlcbfmhjbkgohopdkijfgggbikgbacb,American Roulette Royale,0,Stealer
eljfpgehlncincemdmmnebmnlcmfamhm,Asia Slot,0,Stealer
enmmilgindjmffoljaojkcgloakmloen,Web Client for game Drive Your Car,0,Stealer
